"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","Today's #SQLServer2014 news: http://t.co/Ik5qeltRhV",FALSE,0,NA,2014-08-15 18:00:10,FALSE,NA,"500341190378946561",NA,"<a href=""http://www.tweetedtimes.com"" rel=""nofollow"">The Tweeted Times</a>","jenstirrup",0,FALSE,FALSE,NA,NA
"2","#DataViz latest news roundup: http://t.co/8GSq1DUxMp",FALSE,0,NA,2014-08-15 17:00:02,FALSE,NA,"500326058747785219",NA,"<a href=""http://www.tweetedtimes.com"" rel=""nofollow"">The Tweeted Times</a>","jenstirrup",0,FALSE,FALSE,NA,NA
"3","#SQLServer2014 Top Content: http://t.co/GAj4QKhlKe",FALSE,0,NA,2014-08-15 16:00:06,FALSE,NA,"500310975577604096",NA,"<a href=""http://www.tweetedtimes.com"" rel=""nofollow"">The Tweeted Times</a>","jenstirrup",0,FALSE,FALSE,NA,NA
"4","Summary of the latest #dataviz news! http://t.co/SG6O6jBMnh",FALSE,0,NA,2014-08-15 15:00:02,FALSE,NA,"500295859238891520",NA,"<a href=""http://www.tweetedtimes.com"" rel=""nofollow"">The Tweeted Times</a>","jenstirrup",0,FALSE,FALSE,NA,NA
"5","Top #dataviz story: Twitter launches data visualisation tool #EverydayMoments |… http://t.co/gp9vHJRN8n, see more http://t.co/8GSq1DUxMp",FALSE,1,NA,2014-08-15 14:32:43,FALSE,NA,"500288982509686784",NA,"<a href=""http://www.tweetedtimes.com"" rel=""nofollow"">The Tweeted Times</a>","jenstirrup",1,FALSE,FALSE,NA,NA
"6","The SQLServer2012 Daily is out! http://t.co/40NXR0PYi4",FALSE,0,NA,2014-08-15 14:14:22,FALSE,NA,"500284366531342336",NA,"<a href=""http://paper.li"" rel=""nofollow"">Paper.li</a>","jenstirrup",0,FALSE,FALSE,NA,NA
"7","#SQLServer2014 Top Content: 3 Reasons SQL Server is an Excellent Platform for B… http://t.co/BxLL6EPN10, see more http://t.co/GAj4QKhlKe",FALSE,1,NA,2014-08-15 09:05:53,FALSE,NA,"500206735228149760",NA,"<a href=""http://www.tweetedtimes.com"" rel=""nofollow"">The Tweeted Times</a>","jenstirrup",0,FALSE,FALSE,NA,NA
"8","Today's freshest #SQLServer2014 news: Twitter / EMCcorp: Are your #SQLServer us… http://t.co/cUckZihtIt, see more http://t.co/Ik5qeltRhV",FALSE,0,NA,2014-08-15 09:05:53,FALSE,NA,"500206734213136384",NA,"<a href=""http://www.tweetedtimes.com"" rel=""nofollow"">The Tweeted Times</a>","jenstirrup",0,FALSE,FALSE,NA,NA
"9","Today's freshest #SQLServer2014 news: 3 Reasons SQL Server is an Excellent Plat… http://t.co/BxLL6EPN10, see more http://t.co/Ik5qeltRhV",FALSE,0,NA,2014-08-15 01:11:28,FALSE,NA,"500087345258192896",NA,"<a href=""http://www.tweetedtimes.com"" rel=""nofollow"">The Tweeted Times</a>","jenstirrup",1,FALSE,FALSE,NA,NA
"10","Facial Recognition Caught a Fugitive, But It's Still Got a Ways to Go http://t.co/T73STkYtPX via @data_nerd #data",FALSE,1,"data_nerd",2014-08-14 19:04:32,FALSE,"499994803976011780","499995003192901632","119802433","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","jenstirrup",0,FALSE,FALSE,NA,NA
"11","Interview: Pallas Horwitz, Blue Shell Games on Why #DataScience is So Critical for Gaming Studios http://t.co/mpeLmeNmDM via @kdnuggets",FALSE,0,"kdnuggets",2014-08-14 19:03:30,FALSE,"499994282338422785","499994740109348864","20167623","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","jenstirrup",0,FALSE,FALSE,NA,NA
"12","My favourite Tech Leaders news: http://t.co/jSEH0YSTvp - top stories by JeremyHL, zackwhittaker",FALSE,0,NA,2014-08-14 19:00:13,FALSE,NA,"499993914120896512",NA,"<a href=""http://www.tweetedtimes.com"" rel=""nofollow"">The Tweeted Times</a>","jenstirrup",0,FALSE,FALSE,NA,NA
"13","Today's #SQLServer2014 news: http://t.co/Ik5qeltRhV",FALSE,0,NA,2014-08-14 18:00:10,FALSE,NA,"499978802194563072",NA,"<a href=""http://www.tweetedtimes.com"" rel=""nofollow"">The Tweeted Times</a>","jenstirrup",0,FALSE,FALSE,NA,NA
